"#","Equipo","Pts","PJ","PG","PE","PP","GF","GC","DIF"
"1","Racing Club","57","25","17","6","2","43","16","+27"
"2","Def y Justicia","53","25","15","8","2","33","18","+15"
"3","Boca Juniors","51","25","15","6","4","42","18","+24"
"4","River Plate","45","25","13","6","6","42","21","+21"
"5","Atl Tucuman","42","25","12","6","7","36","29","+7"
"6","Velez","40","25","11","7","7","34","25","+9"
"7","Independiente","38","25","10","8","7","35","28","+7"
"8","Union","36","25","9","9","7","29","24","+5"
"9","Tigre","36","25","9","9","7","39","42","-3"
"10","Huracan*","35","25","9","8","8","28","28","0"
"11","Lanus","34","25","9","7","9","27","32","-5"
"12","Talleres (C)","33","25","9","6","10","25","24","+1"
"13","Aldosivi","33","25","9","6","10","21","24","-3"
"14","Godoy Cruz","32","25","9","5","11","23","30","-7"
"15","Newells","29","25","7","8","10","26","23","+3"
"16","Banfield","29","25","6","11","8","27","31","-4"
"17","Estudiantes (LP)","29","25","7","8","10","21","25","-4"
"18","Gimnasia (LP)","29","25","8","5","12","21","32","-11"
"19","Patronato","26","25","7","5","13","29","37","-8"
"20","Rosario Central","26","25","6","8","11","16","26","-10"
"21","San Martin (SJ)","25","25","6","7","12","24","34","-10"
"22","Belgrano","24","25","4","12","9","16","23","-7"
"23","San Lorenzo*","23","25","3","14","8","21","30","-9"
"24","Colon","23","25","4","11","10","21","33","-12"
"25","San Martin (T)","23","25","4","11","10","25","38","-13"
"26","Argentinos","22","25","5","7","13","15","28","-13"
